14/02/2023, 16:14:21 | THIS | [SERVER]  | EXPRESS  | INITIALISATION SUCCESS
14/02/2023, 16:14:21 | THIS | [SERVER]  | LISTENING:19019  | LISTENING ...
14/02/2023, 16:14:21 | THIS | [SERVER]  | SOCKET.IO  | INITIALISATION SUCCESS
14/02/2023, 16:14:21 | THIS | [SERVER]  | BODY-PARSER  | INITIALISATION SUCCESS
14/02/2023, 16:14:21 | KNiNt0ZgTFtI7NENAAAB | [Prosocket]  | USER-CONNECTION  | CONNECTION SUCCESS
14/02/2023, 16:14:21 | KNiNt0ZgTFtI7NENAAAB | [Prosocket]  | USER-CONNECTION  | CONNECTION SUCCESS
14/02/2023, 16:14:27 | WhHmvIErHo_ultUoAAAD | [Prosocket]  | USER-CONNECTION  | CONNECTION SUCCESS
14/02/2023, 16:14:27 | WhHmvIErHo_ultUoAAAD | [Prosocket]  | USER-CONNECTION  | CONNECTION SUCCESS
14/02/2023, 16:14:34 | ZqZKwguHy8BMZrWMAAAG | [Prosocket]  | USER-CONNECTION  | CONNECTION SUCCESS
14/02/2023, 16:14:34 | ZqZKwguHy8BMZrWMAAAG | [Prosocket]  | USER-CONNECTION  | CONNECTION SUCCESS
14/02/2023, 16:14:56 | Mw_KNKCHQozwUI3iAAAI | [Prosocket]  | USER-CONNECTION  | CONNECTION SUCCESS
14/02/2023, 16:14:56 | Mw_KNKCHQozwUI3iAAAI | [Prosocket]  | USER-CONNECTION  | CONNECTION SUCCESS
14/02/2023, 16:15:56 | THIS | [Message]  | RECIEVE DATA  | MESSAGE SUCCESS
14/02/2023, 16:15:56 | THIS | [Message-tasks]  | PUSH DATA  | MESSAGE SUCCESS
14/02/2023, 16:15:56 | THIS | [MESSAGE]  | RESPONSE  | RESPONSE SENDED SUCCESS
14/02/2023, 16:16:11 | THIS | [Message]  | RECIEVE DATA  | MESSAGE SUCCESS
14/02/2023, 16:16:11 | THIS | [Message-tasks]  | PUSH DATA  | MESSAGE SUCCESS
14/02/2023, 16:16:11 | THIS | [MESSAGE]  | RESPONSE  | RESPONSE SENDED SUCCESS
